column	line	corpus	llama	llama_n	marks	context
page-032-R	21	αἰσθη	αἰσθή	2	+acute	φανερῶς συντείνȣσι πρὸς τὴν καρδίαν ζ3. 469 a20 (cf αἰσθη-
page-033-R	3	αἰσθη	αἰσθή	2	+acute	των τείνȣσι πρὸς καρδίαν Ζγε2. 781 a21. ἡ ἀρχὴ τȣ αἰσθη-
page-033-R	11	αἰσθη	αἰσθή	2	+acute	σθητικὸν ȣκ ἔστιν, ἡ δὲ θρεπτικὴ ψυχὴ χωρίζεται τῆς αἰσθη-
page-033-R	23	αἰσθη	αἰσθή	2	+acute	418 a3. μία ἐστὶν ἐνέργεια ἡ τȣ αἰσθητȣ ϗ̀ ἡ τȣ αἰσθη-
page-033-R	32	αἰσθη	αἰσθή	2	+acute	αἷμα Ζμβ2. 648 a3. 10. 656 b6. διὰ τί ὁ ἄνθρωπος αἰσθη-
page-032-L	1	ȣ̀	ȣ̓	140	-grave,+smooth	ἐνεργȣ́σης Ηκ4. 1174 b14. ȣ̀ μόνον πασχει αλλα ϗ̀ ἀντι-
page-032-L	5	ȣ̀	ȣ̓	140	-grave,+smooth	431 b23, 432 a2. β12. 424 a18. ἡ αἴσθησις ȣ̀ μέγεθος ἀλλὰ
page-032-L	13	ȣ̀	ȣ̓	140	-grave,+smooth	μέν ἐστι ϗ̀ μία, τὸ δ' εἶναι ȣ̀ ταὐτὸν αὐταῖς ψγ2. 425 b26,
page-032-L	43	ȣ̀	ȣ̓	140	-grave,+smooth	460 b4. — τίνος ἕνεκα πλείȣς ἔχομεν αἰσθήσεις ἀλλ' ȣ̀ μίαν
page-046-L	42	ἀλλοιȣ̃σθαι	ἀλλοῖȣσθαι	4	order	(cf ὄντων ϗ̀ μὴ ἠλλοιωμένων Γα10. 327 b1). ἀλλοιȣ̃σθαι ȣ̓
page-046-L	44	ἀλλοιȣ̃σθαι	ἀλλοῖȣσθαι	4	order	τζ6. 145 a4-12. ἀλλοιȣ̃σθαι ταῖς τῶν ὁμοιομερῶν διαφοραῖς
page-046-L	53	ἀλλοιȣ̃σθαι	ἀλλοῖȣσθαι	4	order	εἰς ἐντελέχειαν πότερόν ἐστιν ἀλλοιȣ̃σθαι ψβ5. 417 b6 (cf
page-046-L	54	ἀλλοιȣ̃σθαι	ἀλλοῖȣσθαι	4	order	ἀλλοίωσις). ἐνδέχεται ἀθρόον ἀλλοιȣ̃σθαι αι6. 447 a2. — ἀλ-
page-032-L	14	ȣ́τε	ȣ̓́τε	10	+smooth	426 a15. αι3. 439 a15. τῇ αἰσθήσει ȣ́τε τὸ μέλλον ȣ́τε τὸ
page-032-L	14	ȣ́τε	ȣ̓́τε	10	+smooth	426 a15. αι3. 439 a15. τῇ αἰσθήσει ȣ́τε τὸ μέλλον ȣ́τε τὸ
page-038-L	6	ȣ́τε	ȣ̓́τε	10	+smooth	a19. τὰ θηρία ȣ́τε σώφρονα ȣ́τ' ἀκόλαστα Ηη7. 1149b31.
page-018-L	60	ἀλλή	ἄλλη	8	order	ἀγνώς act τῶν λόγων τι22. 178 a26. — pass ἀγνῶτες ἀλλή-
page-035-L	22	ἀλλή	ἄλλη	8	order	Οβ13. 259a29. μδ7. 384b3. 6. 383b16, a8. αἴτια ἀλλή-
page-038-R	7	ἀλλή	ἄλλη	8	order	ἀνάπαλιν τβ8. 114 a4. ἤτοι ταὐτά ἐστιν ἢ ἀκολȣθεῖ ἀλλή-
page-046-L	27	ἀλλοιȣ̃ται	ἀλλοῖȣται	3	order	ȣ̓κ ἀλλοιȣ̃ται, οἷον τὸ τετράγωνον γνώμονος περιτεθέντος ηὔ-
page-046-L	37	ἀλλοιȣ̃ται	ἀλλοῖȣται	3	order	ἀλλοιȣ̃ν. τὸ ἀλλοιȣ́μενον ἅπαν ἀλλοιȣ̃ται ὑπὸ τῶν αἰσθητῶν
page-046-L	47	ἀλλοιȣ̃ται	ἀλλοῖȣται	3	order	244 b7. τὰ ζῷα ἀλλοιȣ̃ται φυσικὴν ἀλλοίωσιν Ζκ11. 703
page-033-L	7	τον	τὸν	399	+grave	τον αἴσθησιν Ζγε1. 778 b22 i e τὴν τῆς αἰσθήσεως δύναμιν,
page-046-L	50	τον	τὸν	399	+grave	τον ἀλλοιȣ́μενον, τȣ̃ ἀλλοιȣμένȣ ϗ̀ τȣ̃ ἀλλοιȣ̃ντος ȣ̓δὲν με-
page-032-L	44	ȣ̀κ	ȣ̓κ	253	-grave,+smooth	μόνην ψγ1. 425 b4-11. ὅτι ȣ̀κ ἔστιν αἴσθησις ἑτέρα παρὰ
page-032-L	55	ȣ̀κ	ȣ̓κ	253	-grave,+smooth	a13, 15. ȣ̀κ ἔστιν ȣ̀δὲ τοῖς ἄλλοις ζῴοις κατὰ ταύτας τὰς
page-016-L	25	ȣ́	ȣ̓	140	-acute,+smooth	1248b18 Fr. ἀγαθὰ μέν, ἐπαινετὰ δ' ȣ́ ηεη15. 1248b25.
page-039-L	5	ȣ́	ȣ̓	140	-acute,+smooth	ȣ́ αι6. 446 b16. ἀκριβῶς ἀκȣ́ειν διχῶς λέγεται Ζγε2. 781
page-015-L	31	τȣ́ς	τȣ̀ς	134	-acute,+grave	βεῖς τȣ́ς νεανίσκȣς κ 6. 400b5.
page-015-L	32	τȣ́ς	τȣ̀ς	134	-acute,+grave	ἄβολος ἵππος (i e ὁ μήπω βεβληκὼς τȣ́ς ὀδόντας) Ζιζ 22.
page-029-L	26	αἱμα	αἷμα	74	+circumflex	b6. πλῆθος αἱματικὸν ἀκατέργαστον Ζγδ1. 766 b22. αἱμα-
page-029-L	37	αἱμα	αἷμα	74	+circumflex	αἱματίς. ὅταν βάπτοντες τὴν πορφύραν καθιῶσι τὰς αἱμα-
page-034-R	57	παλιν	πάλιν	44	+acute	παλιν τοῖς τελικοῖς Aδ11. 94b23. τὸ πρῶτον αἴτιον, ὃ ἐν
page-038-R	18	παλιν	πάλιν	44	+acute	παλιν ἡ ἀκ., ἡ κατὰ τὴν ἀντίφασιν ἀκολȣθησις τβ8. 113
page-033-L	40	ȣ̈δὲν	ȣ̓δὲν	41	-diaeresis,+smooth	Ζγε1. 779 b25. ψγ1. 425 a3-7. αι2. 437 a19, 438 b18. ȣ̈δὲν
page-033-L	59	ȣ̈δὲν	ȣ̓δὲν	41	-diaeresis,+smooth	τῶν κοινῶν ȣ̈δὲν αἰσθητήριον ἴδιον ψγ1. 425 a13-b3. τῶν ἰδίων
page-031-L	38	απ	ἀπ	17	+smooth	απ. κ. λ. III 7). Ηι7. 1170 a31. αὐτῷ (codd αὐτὸ) αἰσθά-
page-032-L	45	απ	ἀπ	17	+smooth	τὰς πέντε ψγ1. 424 b22-425 a13 (Alex Aph απ. κ. λ. III 6
page-039-R	56	ἀποδȣναι	ἀποδȣ͂ναι	12	+circumflex	γειν, γράφειν, διορίζειν, ἀποδȣναι, ἰδεῖν Αα1. 24b14. τη3.
page-040-L	9	ἀποδȣναι	ἀποδȣ͂ναι	12	+circumflex	ἀποδȣναι, opp τύπῳ περιλαβεῖν τα1. 101 a21. ἀκριβὴς ϗ̀ πε-
page-052-R	37	ἀμφώ	ἀμφω	12	-acute	τῆς ἄνω σιαγόνος Ζιβ1. 501 a11. τὰ κερατοφόρα ȣ̓κ ἀμφώ-
page-052-R	38	ἀμφώ	ἀμφω	12	-acute	δοντα, διὰ τί Ζμγ14. 674 a31. 2. 662 a36. τὰ μὴ ἀμφώ-
page-024-L	8	θερμȣ̃	θερμȣ	9	-circumflex	ἀὴρ Γβ3. 330b4, 22. ὁ ἀὴρ ὑγρȣ̃ μᾶλλον ἢ θερμȣ̃ Γβ3.
page-028-L	36	θερμȣ̃	θερμȣ	9	-circumflex	τος θερμότης, σφυγμός. πῶς θερμȣ̃ ϗ̀ ὑγρȣ̃ ἡ τȣ̃ αἵματος
page-022-R	4	πραγμά	πρᾶγμα	7	-acute,+circumflex	δῴη δι' ἀδυναμίαν ηεη10. 1243 b11. ἀδυναμία τῶν πραγμά-
page-032-R	48	πραγμά	πρᾶγμα	7	-acute,+circumflex	τις Ζγα23. 731 a33. τὴν ἐπιστήμην μέτρον τῶν πραγμά-
page-038-L	35	ἀκολȣθȣσι	ἀκολȣθȣ͂σι	5	+circumflex	b34. οἱ βίοι ἀκολȣθȣσι κατὰ ταύτας τὰς διαιρέσεις sim Ζιθ2.
page-038-L	42	ἀκολȣθȣσι	ἀκολȣθȣ͂σι	5	+circumflex	λον ἀκολȣθȣσι παιδεία ϗ̀ εὐγένεια τοῖς εὐπορωτέροις Πδ8.
page-027-L	57	καλȣ͂	καλȣ	4	-circumflex	ϗ̀ τὴν τȣ͂ καλȣ͂ ὄρεξιν, opp διὰ φόβον Ηγ11. 1126 a28, 31.
page-034-L	14	καλȣ͂	καλȣ	4	-circumflex	— περὶ καλȣ͂ ϗ̀ αἰσχρȣ͂ Ρα9. αἰσχρὰ κατ’ ἀλήθειαν, κατὰ
page-017-L	18	φύ	φυ	3	-acute	a16. — ἀγγεῖα ἐν τοῖς τῶν ζῴων σώμασιν: πάντα ὅσα φύ-
page-025-L	13	βȣλονται	βȣ́λονται	3	+acute	Ρβ20. 1393 b5. βȣλονται ἀθλητήν τινα νικᾶν Ηγ4. 1111b24.
page-030-L	46	φύ	φυ	3	-acute	b28. πιε9. 912 a35. κε7. 938 b9. κϛ34. 944 a25. αἴρειν φύ-
page-041-L	44	ἑκα	ἕκα	3	+acute	διαθέσεις Ηβ8. 1108 b14. (his cf ἂν ληφθῇ τὰ ἄκρα ἑκα-
page-049-L	30	βȣλονται	βȣ́λονται	3	+acute	βȣλονται Φδ6. 213 a24. ἁμαρτάνȣσιν ὅσοι τῶν ποιητῶν Ἡρα-
page-052-R	20	ἑκα	ἕκα	3	+acute	Μλ5. 1071 a9. μδ3. 380 a30. τὰ ἄμφω: ἀδύνατον ἑκα-
page-016-R	24	ἄγασθαι	ἀγασθαι	2	-acute	ἀγαμένως v. ἄγασθαι.
page-017-L	4	ἄγασθαι	ἀγασθαι	2	-acute	ἄγασθαι τὸν νομοθέτην, τȣ̃ νομοθέτȣ τὸν σκοπόν Πη14. 1333
page-018-L	22	ἀγνοȣντες	ἀγνοȣ͂ντες	2	+circumflex	ϗ̀ εἰδώς Ρα13. 1373 b34. ἀγνοȣντες ἁμαρτάνȣσιν Ρα15.
page-018-L	24	ἀγνοȣντες	ἀγνοȣ͂ντες	2	+circumflex	ἀγνοȣντες φαίνονται ἀνδρεῖοι εἶναι Ηγ11. 1117 a22-28. —
page-018-L	32	ἀγνοȣντως	ἀγνοȣ͂ντως	2	+circumflex	ὑπάρξειεν ἂν Ηι6. 1167 a23. — ἀγνοȣντως τβ9. 114 b10.
page-018-L	53	ἀγνοȣντως	ἀγνοȣ͂ντως	2	+circumflex	ἀγνοȣντως v ἀγνοεῖν.
page-018-L	54	ἀγνή	ἁγνή	2	-smooth,+rough	ἀγνός. Ἄρτεμις ἀγνή (Hom υ 71) πι36. 894 b34. μακάρων
page-018-L	55	ἀγνή	ἁγνή	2	-smooth,+rough	θέμις ἀγνή f 624. 1583 a26. ἁγνὲ θεῶν πρέσβισθ’ ἑκατηβόλε
page-022-L	41	ἀδρός	ἁδρός	2	-smooth,+rough	ἀδρός. σῖτος μήπω ἀδρός Μδ7. 1017 b8. ὅταν ἤδη γίγνηται
page-022-L	41	ἀδρός	ἁδρός	2	-smooth,+rough	ἀδρός. σῖτος μήπω ἀδρός Μδ7. 1017 b8. ὅταν ἤδη γίγνηται
page-022-L	42	ἀδρά	ἁδρά	2	-smooth,+rough	ἀδρότερον τὸ ᾠόν Ζιζ2. 559 b11. ἄλφιτα ἀδρά πκα26. 929
page-022-L	43	ἀδρά	ἁδρά	2	-smooth,+rough	b38. ῥεύματα ἀδρά πκη1. 949 b5. ψακάδες ἀδρότεραι κ4.
page-022-L	45	ἀδρυνόμενοι	ἁδρυνόμενοι	2	-smooth,+rough	ἀδρύνειν. σῖτοι οἱ ταχὺ ἀδρυνόμενοι Φε6. 230 b2. ἔμβρυα
page-022-L	47	ἀδρυνόμενοι	ἁδρυνόμενοι	2	-smooth,+rough	νεοττοὶ ἀδρυνόμενοι Ζιι34. 619 b30.
page-029-R	54	ποιȣνται	ποιȣ͂νται	2	+circumflex	ποηφάγοι, πῶς τὴν νομὴν ποιȣνται Ζιθ10. 596a13. φυσιω-
page-030-R	29	θά	θα	2	-acute	b17. αἱρετώτερον τὸ αὐταρκέστερον Πβ2. 1261b14. ὁ θά-
page-032-R	60	ποιȣνται	ποιȣ͂νται	2	+circumflex	Ζμβ2. 648 b14. τὸ μόριον, ᾧ ποιȣνται τὴν αἴσθησιν τῆς τρο-
page-037-L	49	θά	θα	2	-acute	calis, ὁ νότος ȣ̓̀ πνεῖ κατ' αὐτὴν τὴν Αἴγυπτον τὰ πρὸς θά-
page-038-L	57	ἀκολȣθȣντα	ἀκολȣθȣ͂ντα	2	+circumflex	a29. τὰ ἀκολȣθȣντα (sc ταῖς αἰσθήσεσι) ϗ̀ κοινά, οἷον κίνησις
page-038-L	59	ἀκολȣθȣντα	ἀκολȣθȣ͂ντα	2	+circumflex	ἐξ ἀνάγκης αι1. 436a13. τὰ ταῖς δημοκρατίαις ἀκολȣθȣντα
page-045-R	54	ἀλλόμενα	ἁλλόμενα	2	-smooth,+rough	ἄλλεσθαι, cf ἅλσις. τὰ ἀλλόμενα ἀθρόῳ παντὶ τῷ σώματι
page-045-R	58	ἀλλόμενα	ἁλλόμενα	2	-smooth,+rough	ταβολὴν ἀλλόμενα Ζπ14. 712 a31. διὰ τί οἱ πένταθλοι ἅλ-
page-045-R	58	ἅλ	ἀλ	2	-acute,-rough,+smooth	ταβολὴν ἀλλόμενα Ζπ14. 712 a31. διὰ τί οἱ πένταθλοι ἅλ-
page-047-R	60	ἅλ	ἀλ	2	-acute,-rough,+smooth	— sing ἅλς, ἁλός εν3. 461b16. Ζιζ27. 580b31 (v l ἅλ-
page-050-R	20	ἀμιλλᾶσθαι	ἁμιλλᾶσθαι	2	-smooth,+rough	ἀμιλλᾶσθαι πρὸς τὸ εὖ δρᾶν Ηθ15. 1162b8. ἀμιλλωμένων
page-050-R	22	ἀμιλλᾶσθαι	ἁμιλλᾶσθαι	2	-smooth,+rough	1169a8. (ἀδύνατον) ἐν τῷ πελάγει ἀμιλλᾶσθαι ἄρματα
page-015-R	8	τἀ	τὰ	1575	-smooth,+grave	θείȣ ϗ̀ ἀγαθȣ̃ ϗ̀ ἐφετȣ̃ Φα9. 191a17. Ζκ6. 700b25. τἀ-
page-040-R	40	τὴς	τῆς	843	-grave,+circumflex	τὴς ἢ θεωρὸς ἢ κριτής Ρα3. 1358b2. πῶς κλέπτεται ὁ
page-035-L	14	αἴ	αἱ	436	-acute,-smooth,+rough	Μδ2. 1013b34-1014a6. τῶν κατὰ συμβεβηκὸς ϗ̀ τὸ αἴ-
page-028-R	23	δία	διὰ	420	-acute,+grave	δία Ζια17. 496 b9. Ζμγ4. 667 a1, ἐν χολῇ Ζμδ2. 677 a26, ἐν
page-044-L	37	ἕ	ε	297	-acute,-rough	θῶς. τὰ δυνάμενα ποιεῖν τὸ αὐτῶν ἔργον ἀληθῶς ἐστὶν ἕ-
page-048-L	46	ȣ̔κ	ȣ̓κ	253	-rough,+smooth	1443b34). ȣ̔κ ἀλυσιτελές ρ3. 1424a19.
page-051-L	5	γίνεταί	γίνεται	179	-acute	ἀμοιβὴ γίνεταί τινι ἀντί τινος Ηι1. 1163 b35. ἡ ἄμ. γίνεται
page-027-R	46	ταις	ταῖς	163	+circumflex	αἰκαυνίαις (?). παρὰ δὲ αἰκαυνίαις (v l ταις Καυνίαις)
page-044-L	45	τέ	τε	163	-acute	ταὐτὰ τοῖς ἀληθινοῖς Ζιδ8. 533a7. τὰ γεγραμμένα διὰ τέ-
page-021-R	37	ζῷων	ζῴων	146	-circumflex,+acute	ϗ̀ ἀδικώτατοι Ργ15. 1416 b7. ἄνθρωπος ζῷων ἁπάντων ἀδι-
page-035-L	32	ȣ̓̃	ȣ̓	140	-circumflex	90a7. αἱ αἰτίαι πᾶσαι διὰ τȣ͂ μέσȣ δείκνυνται Αδ11. ȣ̓̃
page-037-L	49	ȣ̓̀	ȣ̓	140	-grave	calis, ὁ νότος ȣ̓̀ πνεῖ κατ' αὐτὴν τὴν Αἴγυπτον τὰ πρὸς θά-
page-035-L	28	ἀνώ	ἄνω	108	order	1041a17. ἡ αἰτία ϗ̀ τὸ διὰ τί Ρβ21. 1394a30. τὰ ἀνώ-
page-032-L	1	αλλα	ἀλλὰ	97	+grave,+smooth	ἐνεργȣ́σης Ηκ4. 1174 b14. ȣ̀ μόνον πασχει αλλα ϗ̀ ἀντι-
page-046-L	7	δεί	δεῖ	93	-acute,+circumflex	μα3. 339 a37, 340 a17. ἐξ ἀλλήλων sive δι᾽ ἀλλήλων δεί-
page-018-R	47	πᾶ	πα	59	-circumflex	θέρα Πη12. 1331a31, b1, 11. οἱ παρέχοντες σφᾶς αὐτȣς πᾶ-
page-029-L	51	γενή	γένη	59	order	b5 (cf ὀρνίθων γενή, τὸ μὲν πρῶτον μικρὸν ϗ̀ λευκὸν φαί-
page-023-L	51	ἀεῖ	ἀεὶ	57	-circumflex,+grave	ἀεῖ Vhl Rhet p 35. ἀεὶ pro δεῖ Πδ11. 1296 b7 Bk3. πο26.
page-027-R	42	πέ	πε	44	-acute	αἴθυια, avis, πῶς ἔνυδρον, τίκτει ἐν ταῖς περὶ θάλατταν πέ-
page-027-L	11	σπερμα	σπέρμα	43	+acute	ἕνεκα: ὄργανον πρὸς συνδυασμόν, γεννητικόν, τόπος σπερμα-
page-032-L	26	ȣ̀δὲν	ȣ̓δὲν	41	-grave,+smooth	αἰσθητȣ̃ γίνεσθαι τὴν αἴσθησιν αι3. 440 a19. ȣ̀δὲν ἁπτόμενον
page-052-R	10	ἐχόν	ἔχον	36	order	ἄμφω, ἀμφοῖν. ἄμφω etiam pro gen usurpatur ἄμφω ἐχόν-
page-043-R	28	οντα	ὄντα	35	+acute,+smooth	οντα, οἷον ἐπιστήμη ἢ νȣς ψγ3. 428 a17. ἀληθεύειν ἐν οἷς
page-033-R	2	πάν	πᾶν	33	-acute,+circumflex	ἀποτελευτῶσιν Ζιγ3. 514 a22. οἱ πόροι τῶν αἰσθητηρίων πάν-
page-039-L	1	ταυτὰ	ταῦτα	31	-grave,+circumflex	μᾶλλον ἑνὸς ἀκȣ́οντες συνίεμεν ἢ πολλῶν ἅμα ταυτὰ λε-
page-023-R	27	πλά	πλα	29	-acute	ζ6. 563 b5, eorum nomina: πύγαργος (sive νεβροφόνος), πλά-
page-045-R	41	ἢν	ἦν	29	-grave,+circumflex	ἢν πρὶν τὸ νόμισμα εἶναι Ηε8. 1133 b26. ἀλλαγὴ ἑκȣσιος
page-038-L	3	πολλα	πολλὰ	27	+grave	ἀκόλαστος Ηγ13-15. ηεγ2. ημα22. ὁ ἀκ. λέγεται πολλα-
page-039-L	11	παθη	πάθη	24	+acute	Πδ14. 1298 a19. absol συνομοιοπαθεῖ ὁ ἀκȣ́ων τῷ παθη-
page-039-R	4	ἀκρα	ἄκρα	19	+acute	Ηη3. 1145b21, 30. 5. 1146b25, 1147b1, 18. τῶν ἀκρα-
page-042-R	24	αυτȣ͂	αὐτȣ͂	19	+smooth	αυτȣ͂ χρόνον, ποσάκις τῆς ἡμέρας τίκτȣσιν Ζιε13. 544a32.
page-032-L	55	ȣ̀δὲ	ȣ̓δὲ	18	-grave,+smooth	a13, 15. ȣ̀κ ἔστιν ȣ̀δὲ τοῖς ἄλλοις ζῴοις κατὰ ταύτας τὰς
page-031-L	49	ταυτόν	ταὐτὸν	16	-acute,+grave,+smooth	αἰσθάνεσθαι ϗ̀ νοεῖν ȣ̓ ταυτόν ψγ3. 427 b8-29. τὸ αἰσθά-
page-049-L	35	ὑπερ	ὑπὲρ	16	+grave	ρετώτερος; Ηζ5. 1140 b23. — ἁμαρτάνεσθαι. ἡ μὲν ὑπερ-
page-021-R	32	νομος	νόμος	15	+acute	νομος Hε2. 1129 a32.15.1138 a14. ὁ ἄνισος Hε2. 1129a33.
page-036-R	31	πλῆ	πλη	14	-circumflex	ἀκατέργαστος τροφὴ Ζμβ3. 650a15. γ14. 674b12. πλῆ-
page-046-R	30	ταυτό	ταὐτό	13	+smooth	ἄλλος. ἄλλο def et dist, syn ἕτερον, opp ταυτό Μι3. 1054
page-042-R	23	ἐνι	ἑνὶ	12	-smooth,+grave,+rough	ἀπέθανον Ζιζ1. 558b27. Ζγγ1. 749b13, 19. πόσον τȣ͂ ἐνι-
page-039-L	21	κινεῖταί	κινεῖται	10	-acute	ἀκȣ́σιος. κινεῖταί τινας ϗ̀ ἀκȣσίȣς κινήσεις ἔνια μέρη τῶν ζῴων
page-039-R	54	ἀκριβεία	ἀκρίβεια	10	order	αν16. 478b1. εἰς ἀκρίβειαν Πη11. 1331a2. τῇ ἀκριβεία
page-044-R	35	ȣ̓̃ν	ȣν	10	-circumflex,-smooth	μὲν ȣ̓̃ν τοιȣ́των ἅλις Ηκ1. 1172 b7. περὶ μὲν τȣ́των ἅλις
page-017-L	42	μίας	μιᾶς	9	-acute,+circumflex	μίας, ὑπὸ τȣ̃ πάθȣς, ὑπὸ τῶν ἡδονῶν Ηγ14. 1119a2. δ11.
page-048-R	14	πόδων	ποδῶν	9	-acute,+circumflex	πόδων Ζγβ6. 742 a8. δ6. 774 b7. ἐν Αἰγύπτῳ ἀλώπεκες
page-018-R	28	ἄγονόν	ἄγονον	8	-acute	ἄγονον, opp γόνιμον Ζικ6. 637b34. διὰ τί ἄγονόν ποτε τὸ
page-022-L	27	ȣ́τως	ȣ̔́τως	8	+rough	εἰς τὰ ȣ́τως ἄδοξα συνάγειν τι12. 173 a27.
page-022-R	37	ȣ̓τως	ȣ̔́τως	8	-smooth,+acute,+rough	274 b13, 15. ὥσπερ ȣ̓κ ἔστιν ȣ̓δὲν ἀδύνατον, ȣ̓τως ȣ̓δὲ γίγνεται
page-032-L	32	ἀπατη	ἀπάτη	8	+acute	ἑτέρᾳ αἰσθήσει αἰσθάνεσθαι ϗ̀ περὶ ὃ μὴ ἐνδέχεται ἀπατη-
page-050-L	1	αἱματώδες	αἱματῶδες	8	-acute,+circumflex	891 b4. ἀμέλγονται αἱματώδες Ζιγ20. 522 a10. ἀμέλγεται
page-051-L	7	αίρεσιν	αἵρεσιν	8	+rough	αίρεσιν Ηι1. 1164 b1. θ15. 1163 a32.
page-051-L	49	ἐφή	ἔφη	8	order	ἢ ὅλως ȣ̓κ ἔστιν ἢ μόλις ϗ̀ ἀμυδρῶς Φδ10. 217 b33. ἐφή-
page-047-L	9	πραγμα	πρᾶγμα	7	+circumflex	λόγοι ἀλλότριοι (opp οἰκεῖοι) τȣ͂ πράγματος, τῆς πραγμα-
page-017-L	37	τεχνήν	τέχνην	6	order	τȣ̃ ἔτȣς κ6. 399a23. ἄγειν τεχνήν τινα πρὸς τὰς μαθήσεις,
page-018-R	43	ἄγονά	ἄγονα	6	-acute	ἔνια ὅλως ἄγονά ἐστιν Ζγβ1. 732b9.
page-020-R	45	αίρετον	αἱρετόν	6	+rough	αίρετον κατὰ λόγον, κατὰ χρόνον Μμ8. 1084b14. ἀδιαίρετον
page-028-R	45	αἱμορροῒς	αἱμορροΐς	6	-grave,+acute	τος αἱμορροῒς ἥ τ' ἐν ταῖς ῥισὶ ϗ̀ ἡ περὶ ἕδραν ϗ̀ ἰξία Ζιγ19.
page-029-R	57	αἴγας	αἶγας	6	-acute,+circumflex	λάζει τὰς αἴγας Ζιθ30. 618b5. πῶς κατάκεινται αἱ αἶγες
page-030-L	7	κέ	κε	6	-acute	φύσιν γιγνόμενά τινα). τράγαιναι δύο ἔχȣσαι αἰδοῖα· αἲξ κέ-
page-018-R	45	παλαί	πάλαι	5	order	μέχρι ἀγορᾶς πληθυȣσης Ζιι32. 619a16. κλέψαι ἐκ παλαί-
page-026-L	8	καλȣμενον	καλȣ́μενον	5	+acute	καλȣμενον Αἴγινα f 66. 1486 b44. — Αἰγιναῖος ὀβολός
page-030-L	13	παλαι	πάλαι	5	+acute	I 63 n 2d). ἐν Συρίᾳ τὰ ὦτα αἱ αἶγες ἔχȣσι σπιθαμῆς ϗ̀ παλαι-
page-045-R	21	χρη	χρὴ	5	+grave	ἡ καπηλικὴ ποιητικὴ χρημάτων, ȣ πάντως, ἀλλ᾽ ἢ διὰ χρη-
page-049-R	12	ἴρις	ἶρις	5	-acute,+circumflex	ἴρις ἀμαυροτέρα τοῖς χρώμασιν μγ4. 375a30, b13. κομῆται
page-050-R	29	μῖξις	μίξις	5	-circumflex,+acute	ἀμιξία, opp μῖξις πν9. 485b18.
page-015-R	18	κινȣ̃σα	κινȣσα	4	-circumflex	φύσει Κ12.14b4. βέλτιον ϗ̀ θειότερον ἡ ἀρχὴ ἢ κινȣ̃σα Ζγβ1.
page-022-R	18	προαιρȣ́μενος	προαιρȣμενος	4	-acute	νος ἀδυνατῶν δέ, ȣθ' ὁ δυνάμενος μὴ προαιρȣ́μενος δέ τδ5.
